date,AK,AL,AR,AZ,DE,GA,ID,KS,KY,LA,MA,MD,ME,MI,MN,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
11/25/12,1.524390244,5.296022202,1.450127376,1.083699561,0.83725798,3.261261261,2.011766939,1.222071349,0.333944782,4.950461106,1.01617096,1.098473802,1.007821901,1.243308582,0.966879243,2.185298039,0.875796178,3.262233375,0.356415479,2.238598443,2.076820009,0.868032009,1.677094756,1.620697784,0.421257291,1.426836673,0.424328147,2.09500609,1.200147711,3.13323793,3.963550329,2.467739448,2.257767517,1.307189543,0.970748123,0.66318328,0.606314029
12/2/12,1.499531396,8.764138094,1.744941526,1.399332703,1.454207921,4.139595322,1.862161643,2.351230154,0.586242134,5.542601462,1.618122977,3.003376577,0.758035173,1.45087117,0.953961012,5.132231405,1.144492132,2.271604938,0.406091371,2.214497232,1.875137878,0.691994573,2.111228402,2.274311055,1.072463768,2.067082683,1.195899772,4.221794563,1.289478602,5.425475487,5.218185223,2.758235623,2.90189634,1.309460182,0.984880011,1.415192508,1.569726699
12/9/12,2.818181818,9.772086754,2.853697749,1.720258039,2.054584483,4.747376538,2.096960369,2.596909045,0.687301974,6.951037129,2.06912611,2.747939046,1.367781155,1.812398728,1.788225839,6.346932728,1.584653878,2.829638273,0.811720451,2.155688623,2.554495913,1.053203778,3.031392284,2.997791101,1.807692308,3.225806452,2.239844185,3.56572645,1.278574196,6.05845342,6.036977684,4.668989547,4.045765511,2.596337797,1.155268022,1.461683024,2.40738264
12/16/12,2.21686747,10.3315977,5.522848332,2.055060101,2.386363636,5.036245708,2.973893303,3.442775489,0.744786495,7.910329471,3.074784731,3.83901647,2.182635211,2.949645887,3.052769298,4.920089816,4.26300578,6.815237108,1.810460438,3.849721707,3.005963247,1.637019851,3.629084334,4.872475306,0.953107129,4.095852054,2.724488151,3.772057633,2.203647416,6.138684398,7.992408773,4.212134439,5.75510846,3.466355957,1.46422629,2.583144979,3.026559605
12/23/12,4.078549849,12.1174326,5.859204198,2.921716345,4.210526316,5.184754569,5.056,5.950951809,1.434746068,8.944904573,4.360602403,10.12048193,4.190981432,4.81369804,6.67768595,8.811498065,5.162523901,10.14546811,2.246763138,5.441880714,7.130177515,1.710367084,5.952380952,5.311666262,3.775883069,6.066906067,4.018215912,3.513238289,2.434928631,8.329913829,9.694317353,6.931666956,7.315641287,5.208781748,2.720527618,4.243353783,5.070387442
12/30/12,2.165725047,7.661040912,4.891994917,3.031200047,5.162775403,4.146586877,3.019354839,6.101146722,1.525821596,7.144337732,3.000301322,3.413512558,2.818911686,4.432423,5.549710679,5.019788918,5,8.652291105,2.418704649,5.001866368,5.222065788,1.972760461,3.996376082,3.679431504,2.78761062,4.198146273,3.007170946,2.208317998,2.325581395,6.886301709,8.247844592,6.622584978,6.806455962,4.494382023,2.776563183,3.992606285,4.215921303
1/6/13,2.264325324,7.416102748,5.771812081,2.827763496,5.115176152,3.558269292,3.597727751,4.761332211,1.129969141,6.499256567,2.579915716,4.235570255,2.893628583,3.876573466,4.0914037,3.616048277,7.00914236,10.1023587,3.097713098,4.947192885,4.63149416,2.382445141,4.138067582,2.895868163,2.671854734,4.302410931,3.405116878,2.043980829,2.422270427,4.130073582,7.615213109,5.421098858,7.062346727,5.141388175,2.302062542,3.899204244,4.31387367
1/13/13,2.532790593,5.908452267,5.903687286,3.906968962,5.499814195,2.924248382,2.952833928,6.036714521,1.820961288,5.719792245,2.372274866,3.813073395,3.042976637,4.079782412,3.076923077,3.176271651,5.741846578,9.414990859,2.37040319,5.617344784,4.814004376,3.023181963,4.538121625,3.005851555,3.237118964,4.963276207,2.824089826,1.321809863,2.529960053,2.974870658,7.68799731,5.492118028,6.24657461,5.100502513,2.941551,3.362493166,5.22459382
1/20/13,0.979858465,4.763434814,4.932735426,5.057782506,5.04704876,2.322367663,3.673723537,5.462524541,1.603795967,5.396404453,2.488981073,3.754831585,2.06863374,4.420579421,2.864230943,2.469071629,6.808134394,9.67663506,1.149665552,4.940374787,5.968070288,3.574429578,4.068929367,2.651280995,4.391100703,3.635059189,1.496552884,0.944414463,2.385646688,1.833804883,7.587625055,5.587770163,2.961308661,5.396383867,3.589133452,2.797016516,3.724805926
1/27/13,2.476361999,4.46755968,3.941132452,3.638933051,3.087885986,2.455491853,2.975576195,6.115623507,1.4733046,4.676438622,2.067951873,2.447376372,1.918158568,3.397188534,2.674368849,2.057575619,4.541895067,8.771929825,0.901510029,4.637622967,5.026648553,2.326856785,2.948402948,2.025970494,3.31090175,2.728344468,1.707206527,0.944159698,2.638522427,2.675059009,5.836950089,5.057216685,3.839662447,5.942820431,2.470187394,2.692955037,2.946013586
2/3/13,1.567261646,3.861266435,2.828722412,3.191256831,2.010852218,2.494999091,3.502437263,5.386334235,1.162677088,4.242309033,1.927577044,1.918955776,1.573479988,3.418803419,3.016970459,1.427898209,4.599303136,6.274620146,0.714445189,4.45368171,3.845749711,3.559643334,2.785904255,1.685230725,2.753872633,2.490629912,0.91489729,0.968491736,2.675088241,2.210572302,4.630829839,4.170149988,3.284830139,5.437274812,2.105969148,1.626947754,1.601489758
2/10/13,1.04879161,4.128440367,2.082176569,3.037841458,1.637426901,2.269402319,2.832751261,3.791351753,1.024946819,3.45378757,1.666666667,2.062929777,1.111769938,2.958918027,2.635017422,1.199981103,7.760532151,5.843963216,0.439422473,4.791130469,3.624276217,3.386414029,3.392172875,1.508128675,2.725045928,2.98393267,0.770365514,1.066098081,2.169334457,2.919179735,3.985259279,3.634760967,3.161613764,5.076628353,1.671554252,1.57358156,1.46835443
2/17/13,0.897819581,3.058603782,1.347305389,2.424902262,1.675552171,2.404196416,2.536151279,3.480314961,0.977729495,3.50837483,1.590414872,2.56121939,1.065069063,2.668190067,1.772972973,1.291334225,2.708678828,5.606214117,0.50295211,3.442879499,3.290799194,2.883536787,3.484915565,2.119682769,2.593010147,2.50668838,0.59036374,1.006889242,1.768867925,1.922909597,3.237615536,3.33350971,3.075998547,3.046014258,1.386700284,1.400966184,1.698178068
2/24/13,1.02960103,3.396320653,1.469723692,2.102162081,1.116427432,2.399943028,0.918458781,2.049885321,1.07489896,3.062355512,1.30838389,2.298006296,1.091033072,2.690757832,1.648675172,1.259051119,6.089965398,4.664007364,0.810213602,2.78825431,2.975929978,3.182434933,2.67504931,1.585786653,1.826869028,2.562067793,0.375645641,0.957828921,1.676190476,1.633529357,3.293289147,3.049907579,3.038361903,3.565640195,1.343973121,0.762361141,1.426513957
3/3/13,0.579230451,3.194734307,1.788908766,1.744299357,1.121076233,2.616965153,0.747621205,1.759026584,0.961492694,3.280330942,1.469226744,5.791030064,0.840618695,2.393326039,1.710151283,1.344101203,5.606758833,3.067112056,0.350058343,3.747821034,2.158819701,2.393822394,2.384337038,1.108904336,1.021126761,2.575423105,0.449943757,1.387953106,1.633064516,2.757229321,3.385919591,2.688489402,3.172958441,3.254769921,1.148105626,1.168539326,1.676410509
3/10/13,1.13085622,3.333613234,1.411359725,1.558686488,0.96749226,2.163397335,1.348784195,1.049288969,0.931871952,3.763613069,1.402834669,2.486069439,0.813898889,2.843754012,2.044172932,1.539465101,5.601092896,3.879448541,0.383246647,3.211318212,2.385996209,2.721607529,2.705023615,1.178992497,1.421227699,2.656142759,0.779912498,1.067235859,1.764705882,1.657017369,3.070398136,2.477477478,2.963628861,2.137931035,0.80328149,0.638686131,1.623891001
3/17/13,1.013513514,3.894564028,1.341107872,1.307511352,0.858369099,1.800701969,1.455572453,0.938314509,0.756696532,2.827545769,1.390683183,1.967608085,0.772200772,2.467506763,1.064135749,0.864830237,3.326713009,3.074910043,0.609161793,2.852926709,1.744314418,1.813880126,2.277204318,0.823271131,0.543970988,2.237170282,0.374298191,1.302385558,1.532801962,1.397770875,2.680868581,1.932572339,2.625358417,1.851851852,0.493316359,1.002227172,1.389817912
3/24/13,0.916230367,2.085230377,0.930898675,0.924276169,0.80604534,1.735436893,0.933460986,0.613779346,0.663620107,2.913915497,1.468276651,2.815256876,0.920050761,1.98938992,1.075268817,1.41024897,4.396482814,3.341013825,0.333704116,2.766705744,1.527169409,1.956025129,1.620496107,0.866845398,0.704887218,1.714153347,0.633453176,1.263802049,1.52027027,1.557598702,2.546367313,1.799541935,2.412715582,2.692926045,0.693739425,0.838072433,1.774133433
3/31/13,0.333778371,1.908235095,0.39824771,0.971764833,0.552740673,1.409112259,0.509286998,0.452011451,0.432770331,2.851268406,1.516584358,1.288334967,1.196850394,1.795142555,0.707808007,1.149706458,4.143426295,2.661169415,0.301789179,2.258726899,1.383923423,1.574455562,1.580919309,0.881355932,0.766871166,1.580309069,0.497803807,0.839717148,1.087848933,0.909322682,2.461444495,1.921441932,2.191362354,3.386727689,0.786138296,0.538819496,1.123683797
4/7/13,0.714749838,1.192016263,0.518378888,1.035071299,0.243072436,1.00820127,0.326022525,0.551702396,0.342030685,2.263785307,1.570233221,1.829487026,0.946656649,1.589211093,0.863371466,0.943230418,3.67816092,2.086677368,0.595998297,1.864594895,1.180744778,1.315218962,1.33983955,0.625,0.285532995,1.285088664,0.531430307,0.684181719,0.969461949,0.906748115,2.347549833,1.635705106,1.793623001,3.793559771,0.497512438,0.789962825,0.863824707
4/14/13,1.315789474,1.106862548,0.270513977,0.935563817,0.363967243,0.941882369,0.399840064,0.157381177,0.111364212,1.835124992,1.376399339,1.226765799,0.642398287,1.478161996,1.231190151,0.870942201,5.084745763,2.997275204,0.105596621,0.997195388,1.427918666,1.049602167,1.471415936,0.496079373,0.258064516,1.05754704,0.478626836,0.359911406,0.865161427,0.492706019,2.289622361,1.395908544,1.281395699,3.405405405,0.392156863,0.506096158,0.449786739
4/21/13,0.786885246,0.660814676,0.533175355,0.959780622,0.043402778,0.631108226,0.469483568,0.209846651,0.090744102,1.885612433,0.870495371,1.219832109,0.914989187,1.39787908,0.729927007,0.616856549,4.659188956,2.439954251,0.134861767,1.638981174,1.291345718,1.085362276,1.1910589,0.428265525,0.223428024,0.915316293,0.414012739,0.346177002,0.71866413,0.492424242,2.100662625,1.487156377,1.219375411,2.088277171,0.393999091,0.337457818,0.383847689
4/28/13,0.856164384,0.739447468,0.265957447,1.185921959,0,0.571364132,0.387596899,0.298705609,0.259621258,1.88421454,0.942833718,1.097590074,0.736771601,0.989527501,0.860737144,0.254987251,4.414125201,2.367941712,0.150966184,1.837390905,1.255280628,1.034433895,0.979473639,0.384352579,0.316255535,0.890900092,0.26574957,0.15128593,0.725655431,0.276696044,1.917572982,1.535960536,1.214622248,2.317008952,0.476996461,0.270669291,0.279864487
5/5/13,0.173010381,0.6775774,0.118906064,0.840280093,0,0.770742611,0.12999675,0.246143748,0.045358331,2.06497266,0.908135695,2.709436313,0.658978583,1.324186343,0.509613157,0.217481359,3.71040724,2.209051724,0,1.458190932,1.383469315,0.960045179,0.85947572,0.358543417,0.08097166,0.84758705,0.24346697,0.222328093,0.371057514,0.205180816,2.049455522,1.517794836,1.068517295,1.757910598,0.304168903,0.163857678,0.239408009
5/12/13,1.13452188,0.597222222,0.214822771,0.800176186,0,0.612260715,0.19828156,0.20937349,0.062402496,2.135550637,0.783968794,2.285341169,0.437636762,1.118953348,0.612629595,0.876338851,2.218114603,2.326811211,0.03691399,1.807535642,1.184132623,1.35322159,0.830614061,0.188146755,0.223546945,0.738477209,0,0.184263866,0.142959257,0.140193467,1.926400181,1.425191218,0.953416409,1.883830455,0.310842933,0.159744409,0.274636511
